Instructor	ID	Average Rating	Total number of rating	Key Phrases
John MacKey	372432	4.8	32	Great professor<>Professor Mackey<>Brilliant Professor<>interesting class<>class interaction<>favorite class<>Fantastic class<>math major<>math department<>best professor I<>math professors<>s awesome<>great guy<>s pretty<>high energy<>Great lecturers<>s attractive<>great staff of TAs<>hilarious lecturer<>hard homework<>Mackey rocks<>lots of help<>aspect of teaching<>understandable way<>tons of energy<>High expectations<>course material<>magical power<>level of hard proofs<>brilliant proffessor<>solid foundation<>reasonable grading<>passionate teacher<>awesome teacher<>generous curves
Daniela Mihai	925645	3.2	30	practice exams<>class examples<>exams weren<>actual exams<>t effective<>s super nice<>couple weeks of class<>nice person<>nice teacher<>lot of practice problems<>lot of examples<>complicated way possible<>tons of supplementary materials<>multi-page hieroglyphic explanation<>fun course<>integrating random shapes<>Ppl don<>horror stories<>life saver<>previous calculus classes<>best Math<>math background<>favorite classes<>unclear notes<>saving grace<>teaching style<>simple formula
David Handron	25618	3.0	29	class don<>unit class<>Fun class<>Tests aren<>Pillars of Geometry Seminar class<>nice guy<>notes aren<>homework problems<>limited time<>real nice cute guy<>nice person<>great teacher<>homework questions<>Homework assignments<>lot of homework<>notes multiple times<>Nerd sense of humor<>Great professor<>great job<>Unclear lectures<>subject matter<>harsh grading<>terms of grading<>exams aren<>Solid teacher<>fair grader<>s great<>coherent lecturer<>best teacher<>Final grade cutoffs<>office hours<>unity course<>matrix algebra<>key concepts<>worst teaching methods<>Horrible lecturer<>good professor<>differential equations<>obvious reason<>unnecessary proofs<>lame way
Irina Gheorghiciuc	1082495	3.6	26	class time<>Hard class<>Class averages<>interesting class I<>difficult problems<>good professor<>good teacher<>hard time<>best teacher<>good grade<>tests pretty<>Nice Professor<>balancing lecture time<>interesting teacher<>pretty difficult teacher<>Interesting course<>s extremely<>Best math prof I<>trouble understanding students<>hard course<>Excellent professor<>course schedule<>thick Russian accent<>office hours<>Nice person<>nice lady<>pt bonus quiz<>Easy exams<>wave equation<>possible steps<>freshman year<>bit effort
Patrick Sileo	172578	2.64	25	class way<>head TAs<>Makes class interesting<>s fantastic<>head TA Ashish<>quan econ<>havean open book exam<>wonderful teacher<>right stuff<>earth personality<>particualr reason<>good sense of humor<>worst professor<>better job<>excellent examples
Lenny Vuocolo	925299	3.1	25	s nice<>extra credit opportunities<>sapling extra credit<>s hilarious<>office hours<>s mean<>chem major<>chem classes<>chem course<>s inability<>professor overall<>great professor<>s teaching strategy<>good professor<>s strongest attribute<>hard tests<>Chem II<>t age<>t care<>class exercises<>t escape<>Quirky talkaive professor<>year theres<>lot of opportunity<>lot of work<>year engineering major<>lot of people<>challenging final I<>weekly quiz<>tough teacher<>science classes<>course structure<>random questions<>night lol<>disrepectful person<>thorough explanations<>enthusiastic lecturer<>packet of notes<>review problems<>corresponding sampling problems<>type of chemistry genius<>high school<>nice guy<>kind of lacking<>structured recitation combination<>grades don<>Ace problem<>m happy<>Problem sets
Dale Winter	1183710	4.72	23	amazing professor<>fun professor<>great professor<>wonderful professor<>Amazing oustanding professor<>funniest professor<>RIP professor Winter<>people don<>Amazing courses<>amazing person<>Dale Winter<>Great teaching style<>minutes time<>best calculus teacher<>learning math concepts<>process of learning<>original exams<>makeup exams<>Awesome teaching style<>big guy<>minutes of problems<>huge beard<>best professors<>basic concepts<>s Qatar campus<>CMU Qatar Campus<>milky way<>beautiful writing<>different experience<>unrewarding experience<>director of Academic Resource Center<>Australian accent<>awesome teacher<>teaching talent rival<>Major props<>witty comments<>CMUQ community<>serious effort<>Neatest handwriting<>hard work<>coolest dude<>Math courses<>analytical parts of calculus<>Academic Counseling<>minimal creativity<>drawing skills<>hilarious character<>legendary lol<>Super sweet<>exam retakes<>required course
Ernest Schimmerling	255059	1.32	22	t difficult<>outside of class<>material b<>kind of calculus professor<>material isn<>Horrible professor<>worst prof<>placement test<>weirdest professor<>worst teacher<>exam feedback<>exam coverage<>calculus concepts<>final exams<>social skills<>boring man<>ridiculous questions<>single chapter<>complete jerk<>schimmerling doest<>office hour<>d die<>significant factor<>Set Theorty<>im lucky<>Carnegie Mellon<>curriculum coverage<>vague manner<>irrelevant tangents<>hw problems<>using transparencies<>grade weren
Scott Sandage	82362	4.0	21	best class<>great class<>awesome class<>FANTASTIC CLASS<>hard class<>best history professor I<>plain awful class<>higher quality class<>fun guy<>politics of American music<>political agenda<>smart guy<>best things<>s teaching<>Great Professor<>best professors I<>good music<>rich history<>Developement of American Culture<>Development of American culture<>Reading questions<>excellent professor<>biased view of history<>poor professor<>students of non-history backgrounds<>Amazing lecturer<>definite political slant<>s subtle<>amazing journey<>exam questions<>fantastic teaching style<>valuable course<>definite bias<>Roots of Rock<>Charismatic teaching style<>I haven<>good story<>individual student needs<>big waste of time<>dissenting opinions<>albiet stern<>false demogogical beliefs<>cultural context<>student input<>Skillful lecturer<>Brilliant lecturer<>enjoyable classes<>deepset morals<>office hours<>subject matter<>White Men<>lot of enthusiasm<>Freshman Seminars
Deborah Brandon	154821	3.76	21	calc class<>s class<>professor brandon<>BEST professor i<>easy class<>best calc professors I<>hard class<>challenging class<>Best calc teacher<>prof Brandon<>I didn<>Excellent professor<>realistic expectations of students<>s easy<>calc background<>enormous lecture<>wonderful person<>good teacher<>Encyclopedic coverage of topics<>calculus course<>cool person<>Calculus light<>great lengths<>math degree<>good intro<>couple years<>strongest subject<>great accomplishment<>Review sessions<>friendly person<>favorite professors<>Diff EQ<>LOT of quizzes<>office hours<>loving character<>humanities major
Paul Steif	365762	3.5	21	good professor<>good guy<>Powerpoint Lectures<>poor lectures<>good classes<>good teacher<>practice exams<>good job<>bad professor<>difficult class<>BUNCH of practice tests<>nice guy<>years worth of practice materials<>final exam<>concepts crystal<>underlying concepts<>entire grade<>poorly structured course<>lecture isn<>minor extra credit<>excellent opportunity<>subject extremely boring<>tricky question
Roger Rouse	892679	3.1	21	Class grade<>s lectures<>single class<>fun class<>fairly boring class<>small class size<>small discussion based class<>s smart<>eye opening class<>s mouth<>s waaay<>TA grades<>TA selection<>freshman lecture<>Professor Rouse<>writing essays<>social structure<>little discussion<>personal political bias<>final paper<>essay questions<>paper prompts<>Overall boring<>complete view<>working man<>claims of bias<>certain cultures<>emotional narratives<>balanced viewpoint<>dreamlike state<>correct answer<>biased argument<>acid trips<>opinion pure elitist ignorance<>lot of reading<>power works<>new perspective<>lucid dreams<>boot of industrialism<>Anti-capitalist movement<>great guy<>Capitalism Sucks<>teacher I<>complicated instructions<>current events
Tom Cortina	485205	4.7	21	great guy<>great lecturer<>programming homework<>funny guy<>Great lectures<>written homework<>difficult homework<>great presence<>good lecturer<>best Lecturer<>programming hw<>clear explanations<>subject of Computer Science<>good teacher<>complicated computer ideas<>Tough class<>entertaining lecturer<>best professors<>Stony Brook<>understandable pleasure<>hard work<>history of computing<>awesome teacher<>little thought<>professor overall<>interesting things<>Principles of Computation<>previous experience
William Hrusa	44201	5.0	20	Best Math Teacher I<>Best math prof<>great math teacher<>Prof Hrusa<>math finance<>best professor I<>Professor Hrusa<>engineering math<>Amazing teacher<>aiding students<>outside of class<>good teacher<>Phenomenal teacher<>best professors<>answering questions<>huge class<>delivering difficult material<>WONDERFUL PROFESSOR<>calculus enjoyable<>subtle humor<>o reservation<>academics outside<>understanding person<>extra help<>graduate school<>great lecturer<>perfect mathematician<>personable guy<>recent graduate<>excellent teaching ability<>entertaining lecturer
Kunal Ghosh	14690	3.55	19	introduction class<>summer class<>physics professor<>energetic professor I<>Nice guy<>lot of work<>interesting professor<>best teachers I<>funny guy<>undergrad physics advisor<>great guy<>worst professor<>t fall asleep<>background information<>s definetly<>meter stick<>s best assets<>hilarious examples<>bunch of derivations<>Kunal Ghosh<>personal level<>realistic expectations<>physical points<>d love<>excellent prof<>sense of humor<>method of teaching<>lab credit
Kenneth Kotovsky	401032	3.1	19	s class<>class intolerable<>class everytime<>Difficult class<>bad class<>worst class i<>t horrible<>t wonderful<>monotonous voice<>power points<>good guy<>Interesting fun<>best choice<>family dog<>monotonous manner<>monotonous fashion<>clear love<>memorization of material<>lecture courses I<>better TAs<>filler word<>guy ramblesa lot<>long reading assignments<>best classes<>AP Psych<>high school<>great teacher<>slide shows<>Fall asleep<>taking notes<>big deal<>hard grader<>lecture isn<>posted reviews<>lecturing style<>helpful information<>good lecturer<>random tangent
Stephen Garoff	468269	2.26	19	good class<>fairly difficult class<>Terrible class<>teaching physics<>good physics teacher<>Reaallly hard class<>physics foundation<>freshman physics<>good teacher<>actual physics knowledge<>good TA<>hes sort of difficult<>Overall material<>MPL explanations<>good physicist<>Professor Garoff<>power points<>using quizzes<>constant test<>actual exams<>Powerpoint slides<>high school<>online assignment<>Kind of awkward<>terms of communicating<>bad TA<>nice guy<>negative quality<>I didn<>bad rating<>Pop quizzes<>largest favor<>extra time<>office hours<>lot of effort<>examples of problems<>old exams
Gordon Weinberg	1333482	4.8	19	lecture notes<>Professor Weinberg<>typical AP stats curriculum<>helping students<>great professor<>providing students<>energetic professor<>stats classes<>straight-forward class<>Super easy class<>Lecture materials<>respectable professor<>straight-forward lectures<>s good<>Gordon Weinberg<>prior stats knowledge<>morning lectures<>series of clear<>fantastic lecturer<>free download of MINITAB<>nice guy<>enthusiastic lecturer<>Great guy<>string of numbers<>little puppy dog<>CMU Blackboard<>Amazing teacher<>important stuff<>best professors<>hyper person<>animated guy<>intuitive way
Oded Meyer	17542	4.61	18	Great class<>easiest math class<>practice exams<>Amazing teacher<>entire exam<>makeup test
William Brown	95848	4.47	18	great teacher<>great lecturer<>excellent teacher<>thorough notes<>EXCELLENT professor<>hard grader<>m serious<>lots of diagrams<>funny old professor<>good teacher<>new topic<>lots of structures<>review sessions<>class everyday<>Dr Brown
Richard Pattis	136897	3.14	18	difficult class<>class- difficult<>challenging class<>helpful outside of class<>introductary class<>office hours<>lot of hours<>solid foundation<>intro programmers<>home quizzes<>good teacher<>lecture notes<>solid understanding<>Java programmers<>rookie programmers<>nitpicky grader of quizzes<>good lecturer<>good guy<>required course<>helpful advisor<>assignments range<>Gives students<>us Pattis<>Teaching methods impossible<>positive thing<>Make use<>variant of C++<>CS courses<>programming skills<>alot of effort<>future classes<>sense of humor
Chante Cox-Boyd	344122	4.0	18	class super<>interesting class<>favorite class I<>TAs grade<>study of exam review sheets<>study guides<>Social Psychology class<>Best professor<>Checks attendance<>s straight<>lots of personal examples<>test easy<>quality bantz<>organization needs work<>real life examples<>assigned material<>Review sessions<>great professor<>Excellent professor<>good lecturer<>personal experiences<>review session day<>office hours<>little bit of homework<>understanding of material<>boarder of grades<>difficult prof<>lecture outlines<>tricky questions<>grading system<>poor organizations skills<>s awesome<>grading policies<>entertaining stories
Mary Lindmann	14689	2.75	16	intro world history class<>head of graduate studies<>literature based course<>graduate studies department<>REEAALLLYYY easy class<>world history blows<>Freshman intro<>lot of grief<>soft spot<>nice siesta<>transfer credit<>entire semester<>good lecturer<>graduate students<>unfocused curriculum<>s space<>Weakest Link<>time consuming<>cool TA<>wonderful teacher<>research methods
Milton Cofield	94548	4.03	16	engaging class<>class everyday<>easiest class<>easy course<>course numbers<>nonsense course<>Best teacher<>excellent business course<>common sense course<>great teacher<>bad jokes<>bad thing<>best classes available<>great guy<>best intro professors<>couple graded assignments<>I didn<>Nice guy<>Hes fine<>Carnegie Mellon University<>good start<>hot mess<>loves cole haans<>u guys<>funniest stories<>poor overall professor<>dont slack<>timely manner<>boring jokes<>Dont fall
Matthew P. Szudzik	127921	4.8	16	Professor Szudzik<>homework wasn<>clear explanations<>clear lectures<>course wasn<>great stories<>guys hes<>s teaching method<>great lecturer<>math fun<>final exam policy<>nice guy<>section of concepts<>overall course<>GRAD STUDENT<>amazing teacher<>review session<>office hours<>recitation section<>Principle of Transfinite Induction<>kinds of advanced mathematics<>BEST TA
Juan Jorge Schäffer	13996	2.07	15	normal class<>Fun class<>s b<>s possible<>s hilarious<>college math professor<>good grade<>worst teacher I<>single large paper<>horrible teacher<>I don<>students aren<>bunch of grad students<>great breakfast<>awesomest man alive<>rigorous understanding<>parents money<>random garbled letters<>little work<>month of cool stories<>writing quality<>classic example<>albert einstein<>senior year
Jack Schaeffer	21628	4.33	15	best professor<>best teacher<>best calc professor I<>BEST teacer<>best way<>Professor Schaeffer<>homework material<>Great Professor<>class interaction<>Calc3D w<>lots of examples<>good way<>good reason<>hard subject<>thorough understanding<>Terrible grader<>old man<>Amazing teacher<>calculus teacher<>entire department<>theoretical knowledge<>standard answer
David Rakison	64829	4.63	15	child development class<>Fun class<>class material<>entertaining guy<>OK class<>cool guy-knowledgeable<>taking child psych<>funny lecturer<>awesome teacher<>good teacher<>aural chocolate<>added bonus<>s awesome<>hes talkin
John Tolle	94550	3.8	15	boring class<>toughest math class<>s great<>great guy<>entire class period<>nice guy<>little eccentric<>awesome guy<>cracks hilarious jokes<>rough drafts<>Great beard<>best prof<>long proofs<>lecture hall<>soooo helpful<>overrated professor<>FUN FACT<>worth staying<>r golden<>engineering major<>cold jokes<>occasional joke<>aDead concert<>pleasant person
Jonathan Wickert	201807	4.7	15	engineering humor<>attendance of lectures<>fundamentals of mechanical engineering<>design project<>great experience<>excellent intro class<>extra effort<>excellent professor<>Great teacher<>fun challenge<>incorporating different styles of teaching<>unethical opinions<>better teachers<>good sense of humor<>relavent items<>muted style<>Amazing professor<>gold star
William Blake	323927	2.3	15	class discussion<>Interesting class<>t grade fairly<>great teacher<>bald stuff<>s sad<>english language<>lot of stuff<>good teacher<>random stuff<>poor teacher of writing<>geniunely incompetent teacher<>Worst freshman English professor<>greatest poet<>fair grader<>different section<>i don<>late work<>boring loser<>waste of time<>big mouth<>complete retard<>total sense<>good student
Noel Walkington	256536	2.0	15	s hard<>s kind of corny<>s straight foward<>thoughtful Professor<>terrible professor<>midterm faculty review<>grad Math major RUN<>Tuesday night<>great overall<>good communicator<>hw problem<>office hour
Jacobo Carrasquel	192021	3.2	15	nice guy<>kind of guy<>Awesome guy<>accomodate students<>uninterested professors<>nice advisor<>s super<>good advisor<>course website<>Overall poor quality professor<>Excellent advisor<>answers questions<>rude way<>hour final<>worst circumstances
Chad Hermann	134474	4.39	14	Chad rocks<>dedicated teacher<>paid engineer<>Philly Eagles<>better writer<>Great guy<>transformations i<>high level of commitment<>better speaker<>great professor<>business major<>excellent professor<>communication classes
Jim Daniels	66836	3.4	14	s poetry<>reading poetry<>good guy<>good grades<>s brilliant<>actual workshops<>good written critiques of poems<>tradition of industrial Detroit<>actual craft of fiction<>Great class<>fantastic poet<>introductory courses<>professors I<>real job<>Lousy teacher<>great approach<>literary short stories<>office hour time<>main grading metric<>Pittsburgh readers<>solipsistic jerk<>major grade<>stale bread
Jack Beuth	127929	3.5	14	class interesting<>regard class attendence<>classic car anecdotes<>personal anecdotes<>quiz opportunities<>Pretty easy course overall<>t slack<>Interesting beer<>MechE concepts<>grading homeworks<>t fall asleep<>practical applications<>real life approach method<>boring teacher<>interesting lecturer<>car engine<>stupid things<>tricky aspects<>Fun mousetrap powered vehicle<>wrench design projects<>tough grader<>ll pass<>Fundamental aspects of solid<>unit conversions<>Tests straight<>good grasp of physics<>strain modulus<>funny guy<>I didn<>key learning<>bad professor
Bruce Armitage	412514	5.0	14	boring class<>Great teacher<>s incredible<>best professor I<>amazing teacher<>best profs I<>great energy<>great person<>Great prof<>s good-humored<>engaging professors I<>Chem student<>good teacher<>WORLD OF<>subject matter<>nice guy<>Monday morning<>easiest classes<>OFFICE HOURS<>Awesome professor<>pay attention<>organic chemistry<>department head
Randy Pausch	25700	4.5	13	Time Management lecture<>better lecture<>realms of VR<>Randy Pausch<>time management videos<>Best prof<>Excellent books<>RIP Randy<>Nice use of humor
Jim Roberts	194637	4.35	13	nice guy<>s class<>great teacher<>helpful teacher<>great computer scientist<>nicest professor I<>class interesting<>freshman year<>lot of work<>amazing teacher<>unrelated topics<>seeking lots of help<>little effort<>kind of thing<>BEST MOOSE<>good skill<>good time<>favorite people
Paul Salvador	328623	4.31	13	intro materials<>class fun<>good prof<>lazy friend<>s pretty fun<>overall I<>better job<>Defects of Materials<>interesting course<>good things<>CLASSS ACT<>takes work<>Hard Class<>Great professor
Danielle Wetzel	331166	3.23	13	bad class<>s class<>hard class<>bad teacher<>real nice teacher<>different teacher<>t hand<>mandatory individual meetings<>things difficult<>awesome professor<>awesome lady<>tough course<>great deal<>christmas party<>boring -<>best professor
John Hayes	17544	2.88	12	pointless material<>undergrad TAs<>boring lectures<>open book<>TAs grade<>kind of teacher<>helpful prof<>Santa Clause<>psych department<>s coattails<>Worst lecturer<>test questions
Hilary Masters	66841	4.04	12	s work<>s courses<>s fair<>professor of writing<>genuine criticism<>serious effort<>serious commitment<>Professor Masters<>writing ability<>standards of morality<>fantastic raconteur<>style of teaching<>good guys<>people shouldn<>archetypal sage American writer
Michael Rectenwald	258357	3.67	12	s class<>excellent class<>Argument class<>class discussions<>excellent -  fascinating readings<>Science Studies<>s interp<>sociology of science<>seminar classes<>grading papers<>difficult readings<>s horrible<>mediocre writing program<>kind of tortured genius<>interesting material<>Great course<>single paper I<>absolute waste<>sense of humor<>people don<>interesting person<>high school<>snide comments<>crude references<>Taught Mechanical<>left-wing hack<>Professor Rectenwald<>Defintiely worht
Mark Fichman	604411	2.87	12	organizational behavior<>pages worth of reading<>lots of reading<>I don<>course content<>hard questions<>tests aren<>memorizing pages<>Professor Fichman<>note of caution<>personal opinions<>difficult tests<>multiple choice<>single mistake<>fun class<>ll study<>great teacher<>subject material<>grain of salt<>bad guy<>giving feedback<>strong opinions<>common sense<>different professor<>specific answers
Aziz Lookman	649907	3.92	12	amazing class<>great guy<>Great professor<>best finance professor<>great guest speakers<>best elective class I<>horrible class structure<>s approachable<>best quantitative course<>Great prep<>amazing guest speakers<>best profs<>lots of contacts<>Amazing prof<>reasonable guy<>real world<>real-world problems<>horrible teacher<>fair professor<>excellent guest speakers<>lots of industry contacts<>weak quantitative skills<>finance classes combined<>approachable person<>knowledgeable professor<>big ideas<>Worst teacher<>high expectations<>project competition<>simple examples<>personal level<>Excel sessions<>consulting interviews<>grading system
Roy Briere	1224433	3.04	12	subject of physics<>physics background<>level class<>multiple physics classes<>difficult class<>physics of musical sound<>condescending people<>overload of resources<>low tolerance<>good TA<>good professor<>Makes occasional obnoxious comments<>teaching equation<>repeated setup of problem<>easiest thing<>pathetic teacher<>interesting man<>Briere isnt<>bad teacher<>Office hours
Naum Kats	17543	4.41	11	best professor<>Class trips<>pretty unique subjects<>favorite people<>lot of<>friendly professor<>amazing professor<>interesting classes<>favorite person<>writing assignments<>relative videos<>easiest prof<>broad topic range<>good guy<>minute work<>Awesome teacher<>Coolest Guy
Tim Hoffman	127911	4.18	11	java class<>Professor Hoffman<>cool guy<>pretty cool professor<>basic variations<>good guy<>outstanding professor<>lot of industry experience<>basic stuff<>great teaching professor<>funny guy<>decent professor overall<>Java code<>lot of interesting programs<>midterm somewhat<>little things<>learning technical skills<>lot of extra credit<>I don<>Final exam<>interesting stories<>computer science<>good analogies<>pay attention<>helpful w<>s hilarious<>notes online<>opposite opinion<>relevant examples<>details far<>hardest midterm<>great stories<>Effective Programming<>mandatory attendance<>CS background<>kinda humorous
Mark Mentzer	130948	4.45	11	Design Drawing<>helpful teacher<>inspiring teacher<>enthusiastic teacher I<>CMU Design department<>Great teacher<>better designer<>nice guy<>better person<>best mentors<>long time<>disorganized classes<>talented artist<>notch professor<>nicest prof<>perfect team<>passion shows
Laura Lee	140147	3.0	11	Laura Lee<>absolute professional<>selfish woman<>Great class<>quality of teaching<>slave driver<>career oriented women
Clayton Merrell	194689	3.73	11	painting assignments didnt<>good knowledge of painting<>immense skill<>expanding students<>hot teacher<>great honor<>fair grader<>hot hands<>lot of bad work<>knowledge of craftsmanship<>strong leadership<>litter tougher<>soothing voice<>talented artist<>s great<>greatest professors<>I wouldn<>extremely knowledgable<>themese of destruction<>awesome teacher<>personal schtick<>paintings of clouds
Gary Warnock	214069	3.32	11	uses class<>outside of class<>honors chem class<>standard chem class<>fun teacher<>great teacher<>interesting teacher<>best teacher<>great accent<>style of teaching<>zany explosive demos<>kind teaching<>self study<>advanced knowledge<>greatest teachers<>lot of learning<>office hours<>cool accent<>combination of explosions
Elaine King	246018	2.36	11	required class<>s extremely boring<>good class<>monotonous way<>repetitive commentary<>nice nap<>Elaine Baby<>mandatory visiting artist lectures<>gramatically-understandable sentences<>Contemporary issues forum<>innumerable slides<>classroom discussion<>zip disc<>attendance credit<>incoherent textbook
Robert Swendsen	400206	3.68	11	class grade<>outside of class<>t curve<>freshman physics<>book didn<>t score<>CMU physics<>final grade<>Great Professor<>good professor<>helpful outside<>physics major<>best professor<>worst professor I<>great teacher<>good teacher<>freshman year<>biggest piece of trash I<>incomprehensible powerpoint slides<>excellent teaching skils<>power point<>lecture helps<>grades improved<>frown face<>budding spark of<>ll bend
Edward Barr	649389	4.59	11	best class I<>Strategic Writing class<>class thinking I wouldn<>great professor<>great insight<>great pleasure<>Great fellow<>round great guy<>great job of giving students<>great job of getting students<>professional introductions<>best Professors I<>professional communication<>professional knowledge<>wrong understandings of professional writing<>core course<>Ed Barr<>Professor Barr<>real master<>Excellent course<>employing real-life examples<>simpler ways of effective communicating<>delicate sponsorship issue<>fascinating guy<>type writing assignments<>direct email<>way of teaching<>wrong concepts<>career aspirations<>stabbing SOB<>truely sensational
Alessandro Acquisti	802198	4.59	11	great professor<>Brilliant Professor<>great guy<>skilled professor<>Good professor<>best professor I<>Econ class<>concepts of Econ<>Econ course<>great person overall<>Great teaching style<>Gives tough tests<>s I<>high grades<>dry theoretical subject<>humble attitude<>aura of intelligence<>stellar teaching skills<>better person<>lots of readings
